Group 1
"83918147864";"100000031789312";"200000757234328"
"83918147864";"100000661880881";"200000042193594"
"83520262727";"100000661880881";"200000023262227"

Group 2
"83425901234";"100000108291449";"200000838702411"
"83778318583";"100000108291449";"200000271160758"
"83642369591";"100000836920490";"200000271160758"

Group 3
"83871002708";"100000687007517";"200000938969442"
"83961008777";"100000687007517";"200000250447892"
"83719035018";"100000852151062";"200000938969442"

Group 4
"83003198830";"100000983908046";"200000491957752"
"83003198830";"";"200000227156862"

Group 5
"83004871437";"100000415589815";"200000230338324"
"83004871437";"100000593616244";"200000911818443"

Group 6
"83007838876";"100000057883041";"200000743424420"
"83007838876";"100000258366432";"200000399313934"

Group 7
"83010361285";"100000039865582";""
"83010361285";"100000836728162";"200000829601330"

Group 8
"83010822172";"100000030955826";"200000534042401"
"83010822172";"100000908471493";"200000135881751"

Group 9
"83015961152";"100000918297305";"200000923748785"
"83015961152";"100000153149827";"200000981057465"

Group 10
"83016130504";"100000513159196";"200000295251632"
"83016130504";"100000889021391";"200000950128326"

Group 11
"83017085368";"100000909309914";"200000723383646"
"83017085368";"100000121927014";"200000414943945"

Group 12
"83018880806";"100000908558075";"200000603712251"
"83018880806";"";"200000709150731"

Group 13
"83020619291";"";"200000772124637"
"83020619291";"100000644427467";"200000174132402"

Group 14
"83020633061";"100000109890072";"200000270786856"
"83020633061";"100000011118358";"200000836835618"

Group 15
"83023239478";"100000998298198";"200000113021304"
"83023239478";"100000606723982";"200000709040085"

Group 16
"83024802547";"";""
"83024802547";"100000123787852";"200000975273274"

Group 17
"83025838410";"100000781291825";"200000681258190"
"83025838410";"100000575903623";"200000825301407"

Group 18
"83028630259";"100000245803242";"200000700042976"
"83028630259";"100000950830951";"200000271420232"

Group 19
"83029835985";"100000360417006";"200000394256483"
"83029835985";"100000934855633";"200000971905513"

Group 20
"83038436775";"100000826183698";"200000583940741"
"83038436775";"100000664936140";""

Group 21
"83039168700";"";"200000828320171"
"83039168700";"100000517083455";"200000554410388"

Group 22
"83039369426";"100000975888647";"200000835494052"
"83039369426";"100000116284025";"200000492805470"

Group 23
"83040349870";"100000124437771";"200000341589119"
"83040349870";"100000920415295";"200000323811597"

Group 24
"83042688389";"100000117153983";"200000554285983"
"83042688389";"";"200000275804200"

Group 25
"83043147656";"100000905387300";"200000363529535"
"83043147656";"100000013542900";"200000215973203"

Group 26
"83045303181";"100000708647843";"200000932253362"
"83045303181";"100000107840380";"200000839725433"

Group 27
"83050576553";"100000515055534";""
"83050576553";"100000102383893";"200000070415733"

Group 28
"83052495002";"100000111435065";"200000695289536"
"83052495002";"100000502327231";"200000786278222"

Group 29
"83054983549";"100000341547466";"200000369359280"
"83054983549";"100000708128380";"200000169284500"

Group 30
"83055611687";"100000250102216";"200000616073412"
"83055611687";"100000315353471";"200000605310314"

